software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602205390;1294;697;1;;;;;;;;;;;;;;;;;;;;;
1764602205404;1295;694;1;;;;;;;;;;;;;;;;;;;;;
1764602205411;1296;693;1;;;;;;;;;;;;;;;;;;;;;
1764602205418;1297;692;1;;;;;;;;;;;;;;;;;;;;;
1764602205426;1298;689;1;;;;;;;;;;;;;;;;;;;;;
1764602205432;1299;687;1;;;;;;;;;;;;;;;;;;;;;
1764602205441;1300;686;1;;;;;;;;;;;;;;;;;;;;;
1764602205446;1302;683;1;;;;;;;;;;;;;;;;;;;;;
1764602205454;1302;682;1;;;;;;;;;;;;;;;;;;;;;
1764602205460;1303;680;1;;;;;;;;;;;;;;;;;;;;;
1764602205467;1304;677;1;;;;;;;;;;;;;;;;;;;;;
1764602205474;1304;675;1;;;;;;;;;;;;;;;;;;;;;
1764602205495;1306;667;1;;;;;;;;;;;;;;;;;;;;;
1764602205511;1307;664;1;;;;;;;;;;;;;;;;;;;;;
1764602205518;1307;662;1;;;;;;;;;;;;;;;;;;;;;
1764602205524;1307;660;1;;;;;;;;;;;;;;;;;;;;;
1764602205531;1307;658;1;;;;;;;;;;;;;;;;;;;;;
1764602205539;1308;656;1;;;;;;;;;;;;;;;;;;;;;
1764602205546;1308;654;1;;;;;;;;;;;;;;;;;;;;;
1764602205553;1308;653;1;;;;;;;;;;;;;;;;;;;;;
1764602205559;1308;652;1;;;;;;;;;;;;;;;;;;;;;
1764602205567;1308;650;1;;;;;;;;;;;;;;;;;;;;;
1764602205574;1308;648;1;;;;;;;;;;;;;;;;;;;;;
1764602205582;1308;646;1;;;;;;;;;;;;;;;;;;;;;
1764602205590;1308;645;1;;;;;;;;;;;;;;;;;;;;;
1764602205597;1308;643;1;;;;;;;;;;;;;;;;;;;;;
1764602205603;1308;640;1;;;;;;;;;;;;;;;;;;;;;
1764602205617;1308;637;1;;;;;;;;;;;;;;;;;;;;;
1764602205625;1308;634;1;;;;;;;;;;;;;;;;;;;;;
1764602205630;1308;631;1;;;;;;;;;;;;;;;;;;;;;
